Title,Mental_Prowess,Physical_Prowess,Social_Skills,Routine_Intensity,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,Insulation (Social Skills),Mental_Scaled,Physical_Scaled,Social_Scaled,Routine_Scaled,AI_Impact_Score,AI_Impact_Type,onetsoc_code,Total_Employment_USD,Median_Annual_Wage_USD
Chief Executives,4.8133333333333335,0.20833333333333334,4.3149999999999995,0.71,3,2,-1,High (Insulated),2.6214713443414537,-1.4536403410485228,2.5069362689393775,-1.302803925154634,-3.8097401940940117,Insulated: High-Social,11-1011.00,223260,181210.0
General and Operations Managers,3.521666666666667,0.5833333333333334,3.6233333333333335,0.6233333333333334,3,2,0,High (Insulated),0.8013205631545756,-1.0767407670515279,1.2905012341818483,-1.3977964943564665,-2.6882977285383145,Insulated: High-Social,11-1021.00,2188870,99310.0
Advertising and Promotions Managers,3.6650000000000005,0.25,3.6666666666666665,0.49666666666666676,3,2,0,High (Insulated),1.0032985853249907,-1.4117626106044123,1.3667116219015965,-1.5366317878052986,-2.903343409706895,Insulated: High-Social,11-2011.00,28860,100810.0
Marketing Managers,3.875,0.25,3.793333333333333,0.4166666666666667,3,2,0,High (Insulated),1.2992198736211793,-1.4117626106044123,1.5894804475439392,-1.624317236299298,-3.213797683843237,Insulated: High-Social,11-2021.00,205900,131180.0
Sales Managers,3.8766666666666665,0.3116666666666667,4.0,0.79,3,2,0,High (Insulated),1.3015684552743234,-1.3497835695471285,1.952945373591973,-1.2151184766606344,-3.1680638502526075,Insulated: High-Social,11-2022.00,365230,117960.0
Computer and Information Systems Managers,3.668333333333333,0.75,3.563333333333333,1.3333333333333333,3,2,0,High (Insulated),1.0079957486312783,-0.909229845275086,1.1849791588775795,-0.6195881389722225,-1.8045672978498022,Insulated: High-Social,11-3021.00,352510,135800.0
Financial Managers,3.7099999999999995,0.375,3.6666666666666665,0.8366666666666666,3,2,0,High (Insulated),1.066710289959887,-1.2861294192720807,1.3667116219015965,-1.1639686317058016,-2.530680253607398,Insulated: High-Social,11-3031.00,543300,121750.0
Industrial Production Managers,3.9183333333333334,1.6450000000000002,3.6650000000000005,1.9133333333333333,0,1,0,High (Insulated),1.3602829966029328,-0.009696195335591655,1.3637804531431457,0.01613136260927266,-1.347649090533873,Insulated: High-Social,11-3051.00,168400,97140.0
Purchasing Managers,3.7083333333333335,0.10333333333333333,3.9599999999999995,0.5,3,2,0,High (Insulated),1.0643617083067436,-1.5591722217676813,1.882597323389127,-1.5329782274513821,-3.4155755508405092,Insulated: High-Social,11-3061.00,71750,111590.0
"Transportation, Storage, and Distribution Managers",3.436666666666667,0.4583333333333333,3.5,1.3333333333333333,3,2,0,High (Insulated),0.6815428988442134,-1.2023739583838597,1.0735947460564086,-0.6195881389722225,-1.693182885028631,Insulated: High-Social,11-3071.00,113270,89190.0
Compensation and Benefits Managers,3.7099999999999995,0.06166666666666667,3.375,0.71,3,2,0,High (Insulated),1.066710289959887,-1.6010499522117918,0.8537570891725176,-1.302803925154634,-2.1565610143271514,Insulated: High-Social,11-3111.00,15230,116240.0
Human Resources Managers,3.831666666666667,0.43999999999999995,3.918333333333333,0.54,3,2,0,High (Insulated),1.2381567506394264,-1.2208001597792684,1.8093181044278304,-1.4891355032043825,-3.298453607632213,Insulated: High-Social,11-3121.00,129810,106910.0
Training and Development Managers,3.7099999999999995,0.37333333333333335,3.7916666666666665,0.54,3,2,0,High (Insulated),1.066710289959887,-1.2878045284898452,1.5865492787854876,-1.4891355032043825,-3.07568478198987,Insulated: High-Social,11-3131.00,32880,105830.0
"Farmers, Ranchers, and Other Agricultural Managers",3.5416666666666665,2.23,3.4966666666666675,2.42,0,1,0,High (Insulated),0.8295035429923073,0.5782671400997199,1.0677324085395064,0.5714725364046016,-0.49625987213490474,Insulated: High-Social,11-9013.00,4560,66360.0
Construction Managers,3.9150000000000005,0.8333333333333334,3.605,1.0833333333333333,3,2,0,High (Insulated),1.3555858332966446,-0.8254743843868649,1.2582583778388772,-0.8936051655159705,-2.151863543354848,Insulated: High-Social,11-9021.00,249650,89300.0
"Education and Childcare Administrators, Preschool and Daycare",3.4599999999999995,1.1033333333333333,3.813333333333333,0.75,3,2,0,High (Insulated),0.7144230419882333,-0.5541066911090288,1.6246544726453618,-1.258961200907634,-2.883615673552996,Insulated: High-Social,11-9031.00,48530,45790.0
"Education Administrators, Kindergarten through Secondary",4.086666666666666,0.8133333333333334,4.041666666666667,0.4166666666666667,3,2,0,High (Insulated),1.597489743570512,-0.8455756950000379,2.0262245925532705,-1.624317236299298,-3.6505418288525684,Insulated: High-Social,11-9032.00,242970,92510.0
"Education Administrators, Postsecondary",3.8333333333333335,0.22833333333333336,3.8966666666666665,0.4166666666666667,3,2,0,High (Insulated),1.2405053322925705,-1.43353903043535,1.7712129105679562,-1.624317236299298,-3.3955301468672543,Insulated: High-Social,11-9033.00,138430,90760.0
Architectural and Engineering Managers,3.956666666666667,0.6883333333333334,3.7283333333333335,1.0833333333333333,3,2,0,High (Insulated),1.4143003746252534,-0.9712088863323696,1.4751648659643166,-0.8936051655159705,-2.3687700314802873,Insulated: High-Social,11-9041.00,178390,134730.0
Food Service Managers,2.9166666666666665,2.25,3.52,1.75,0,1,0,High (Insulated),-0.05121457693682739,0.5983684507128929,1.1087687711578313,-0.16289309473264263,-1.271661865890474,Insulated: High-Social,11-9051.00,201470,50820.0
Gambling Managers,3.2900000000000005,1.21,3.768333333333334,1.25,3,1,0,High (Insulated),0.47486771336751,-0.4468997011721058,1.5455129161671626,-0.7109271478201384,-2.2564400639873012,Insulated: High-Social,11-9071.00,4280,69180.0
Lodging Managers,3.355,1.5033333333333332,3.9166666666666665,1.71,0,1,0,High (Insulated),0.5664623978401393,-0.15208047884556783,1.8063869356693787,-0.20673581897964233,-2.013122754649021,Insulated: High-Social,11-9081.00,35410,51840.0
Medical and Health Services Managers,3.75,0.2916666666666667,3.875,0.5833333333333334,3,2,0,High (Insulated),1.1230762496353524,-1.3698848801603016,1.733107716708082,-1.441639218603466,-3.174746935311548,Insulated: High-Social,11-9111.00,332150,96540.0
Natural Sciences Managers,4.085,0.7066666666666667,3.5849999999999995,1.04,3,2,0,High (Insulated),1.5951411619173685,-0.9527826849369609,1.2230843527374538,-0.9411014501168866,-2.16418580285434,Insulated: High-Social,11-9121.00,54780,119850.0
Postmasters and Mail Superintendents,3.1666666666666665,0.9383333333333334,3.3533333333333335,1.21,3,3,0,High (Insulated),0.3010726710348265,-0.7199425036677064,0.8156518953126434,-0.7547698720671381,-1.5704217673797816,Insulated: High-Social,11-9131.00,14720,71670.0
"Property, Real Estate, and Community Association Managers",2.9166666666666665,0.12333333333333334,3.4166666666666665,0.9166666666666666,3,2,0,High (Insulated),-0.05121457693682739,-1.5390709111545084,0.9270363081338143,-1.0762831832118023,-2.0033194913456165,Insulated: High-Social,11-9141.00,180290,57040.0
Social and Community Service Managers,3.8949999999999996,0.5616666666666666,4.0,0.9166666666666666,3,2,0,High (Insulated),1.327402853458911,-1.0985171868824657,1.952945373591973,-1.0762831832118023,-3.0292285568037753,Insulated: High-Social,11-9151.00,126230,64680.0
Emergency Management Directors,4.208333333333333,0.6033333333333334,4.331666666666667,0.8333333333333334,3,2,0,High (Insulated),1.7689362042500507,-1.0566394564383548,2.536247956523898,-1.1676221920597183,-3.703870148583616,Insulated: High-Social,11-9161.00,9570,70500.0
"Agents and Business Managers of Artists, Performers, and Athletes",3.063333333333333,0.20833333333333334,3.605,0.7066666666666667,3,2,0,High (Insulated),0.15546060853987598,-1.4536403410485228,1.2582583778388772,-1.3064574855085505,-2.564715863347428,Insulated: High-Social,13-1011.00,13470,62080.0
"Buyers and Purchasing Agents, Farm Products",3.168333333333333,1.1466666666666667,3.185,1.21,3,3,0,Low,0.3034212526879706,-0.5105538514471537,0.5196038507090032,-0.7547698720671381,-1.2743737227761414,Risk: Generative AI (Near-Term),13-1021.00,11490,58430.0
"Wholesale and Retail Buyers, Except Farm Products",3.4783333333333335,1.105,3.52,0.71,3,2,0,High (Insulated),0.7402574401728221,-0.5524315818912643,1.1087687711578313,-1.302803925154634,-2.411572696312465,Insulated: High-Social,13-1022.00,109440,53340.0
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3.438333333333334,0.20833333333333334,3.4983333333333335,0.79,3,2,0,High (Insulated),0.683891480497358,-1.4536403410485228,1.0706635772979571,-1.2151184766606344,-2.2857820539585916,Insulated: High-Social,13-1023.00,297600,63300.0
"Claims Adjusters, Examiners, and Investigators",3.3733333333333335,0.39666666666666667,3.105,1.0833333333333333,3,3,0,Low,0.5922967960247275,-1.264352999441143,0.3789077503033128,-0.8936051655159705,-1.2725129158192834,Risk: Generative AI (Near-Term),13-1031.00,274420,63680.0
