onetsoc_code,Title,KMeans_Cluster,AI_Impact_Type,Median_Annual_Wage_USD,Skill,Skill_Value
11-1011.00,Chief Executives,3,Insulated: High-Social,181210.0,Critical Thinking,4.75
11-1021.00,General and Operations Managers,3,Insulated: High-Social,99310.0,Critical Thinking,3.88
11-2011.00,Advertising and Promotions Managers,3,Insulated: High-Social,100810.0,Critical Thinking,4.12
11-2021.00,Marketing Managers,3,Insulated: High-Social,131180.0,Critical Thinking,4.25
11-2022.00,Sales Managers,3,Insulated: High-Social,117960.0,Critical Thinking,4.0
11-3021.00,Computer and Information Systems Managers,3,Insulated: High-Social,135800.0,Critical Thinking,4.0
11-3031.00,Financial Managers,3,Insulated: High-Social,121750.0,Critical Thinking,4.25
11-3051.00,Industrial Production Managers,0,Insulated: High-Social,97140.0,Critical Thinking,4.0
11-3061.00,Purchasing Managers,3,Insulated: High-Social,111590.0,Critical Thinking,4.0
11-3071.00,"Transportation, Storage, and Distribution Managers",3,Insulated: High-Social,89190.0,Critical Thinking,3.62
11-3111.00,Compensation and Benefits Managers,3,Insulated: High-Social,116240.0,Critical Thinking,4.0
11-3121.00,Human Resources Managers,3,Insulated: High-Social,106910.0,Critical Thinking,4.12
11-3131.00,Training and Development Managers,3,Insulated: High-Social,105830.0,Critical Thinking,4.0
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0,Insulated: High-Social,66360.0,Critical Thinking,4.0
11-9021.00,Construction Managers,3,Insulated: High-Social,89300.0,Critical Thinking,4.12
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3,Insulated: High-Social,45790.0,Critical Thinking,4.0
11-9032.00,"Education Administrators, Kindergarten through Secondary",3,Insulated: High-Social,92510.0,Critical Thinking,4.38
11-9033.00,"Education Administrators, Postsecondary",3,Insulated: High-Social,90760.0,Critical Thinking,4.25
11-9041.00,Architectural and Engineering Managers,3,Insulated: High-Social,134730.0,Critical Thinking,4.25
11-9051.00,Food Service Managers,0,Insulated: High-Social,50820.0,Critical Thinking,3.75
11-9071.00,Gambling Managers,3,Insulated: High-Social,69180.0,Critical Thinking,4.0
11-9081.00,Lodging Managers,0,Insulated: High-Social,51840.0,Critical Thinking,3.88
11-9111.00,Medical and Health Services Managers,3,Insulated: High-Social,96540.0,Critical Thinking,4.12
11-9121.00,Natural Sciences Managers,3,Insulated: High-Social,119850.0,Critical Thinking,4.38
11-9131.00,Postmasters and Mail Superintendents,3,Insulated: High-Social,71670.0,Critical Thinking,3.88
